weak_cc_crossing,weak_cc_passing,weak_cc_shooting,weak_cc_positioning,ws_id,id
60,42,42,Organised,53935,603191
50,35,50,Organised,26034,658214
53,47,53,Organised,103919,650746
32,33,48,Organised,70811,993528
37,36,45,Free Form,48830,189231
55,40,55,Organised,95307,978111
66,51,57,Organised,38643,951524
56,53,52,Organised,42754,319820
50,65,50,Organised,51475,196643
38,32,32,Organised,68983,530834
55,62,42,Organised,41244,41261
45,58,58,Organised,103869,74875
65,50,35,Organised,26566,21047
50,40,50,Organised,17646,206313
32,33,48,Organised,27328,31380
59,59,43,Organised,81898,626578
55,40,55,Organised,72476,430368
52,68,61,Organised,75070,495520
68,58,50,Organised,100627,55139
67,66,45,Organised,75573,737282
53,47,53,Organised,64629,480231
56,53,52,Organised,98962,374387
47,36,56,Free Form,35977,141659
52,30,48,Free Form,41152,441535
49,54,36,Free Form,105279,672404
65,50,35,Organised,75226,658409
30,61,66,Organised,34351,79954
50,65,50,Organised,61192,727030
55,40,55,Organised,93248,473871
55,62,42,Organised,24970,894157
52,68,61,Organised,88948,50216
58,68,37,Organised,75611,839925
67,66,45,Organised,35114,914287
46,53,40,Organised,28722,349858
44,68,50,Organised,97360,365175
53,47,53,Organised,87264,725318
65,50,35,Organised,87518,410942
63,62,33,Organised,33787,423895
32,33,48,Organised,15395,179906
50,65,50,Organised,9755,257476
38,32,32,Organised,106325,118893
32,66,37,Organised,623,276344
65,40,35,Organised,11520,134804
61,62,57,Organised,1960,8389
32,33,48,Organised,20648,242939
50,65,50,Organised,43455,718820
45,50,62,Organised,44682,93953
60,42,42,Organised,89421,245683
64,33,37,Organised,6400,863457
38,32,32,Organised,81242,547224
56,53,52,Organised,4889,332137
32,66,37,Organised,84948,908049
55,62,42,Organised,109019,352011
65,40,35,Organised,89512,46960
46,53,40,Organised,104576,912998
47,36,56,Free Form,14468,514229
50,65,50,Organised,104448,54533
64,33,37,Organised,95138,605270
50,65,50,Organised,1473,446463
45,58,58,Organised,81151,69954
38,32,32,Organised,91780,730841
50,40,50,Organised,63476,27548
58,68,37,Organised,53251,408962
30,61,66,Organised,21187,541364
59,59,43,Organised,238,206950
46,53,40,Organised,19753,79758
56,53,52,Organised,66619,71157
45,50,62,Organised,80740,693381
49,54,36,Free Form,106565,542113
44,68,50,Organised,70869,807181
55,62,42,Organised,42989,497700
50,40,50,Organised,12291,568359
64,33,37,Organised,91381,218170
47,36,56,Free Form,66083,520604
49,54,36,Free Form,6121,487596
45,50,62,Organised,36015,345392
44,68,50,Organised,72465,931860
50,40,50,Organised,7688,932371
55,62,42,Organised,62242,930259
60,42,42,Organised,6622,664665
47,36,56,Free Form,58910,605934
46,53,40,Organised,60699,964332
60,42,42,Organised,101861,353961
46,53,40,Organised,68357,177809
52,49,52,Organised,9726,995009
52,30,48,Free Form,23155,179699
53,47,53,Organised,42417,634676
61,62,57,Organised,85117,702834
34,51,37,Organised,33138,558077
33,36,46,Free Form,52011,597759
32,66,37,Organised,43826,23332
38,32,32,Organised,36325,584039
50,65,50,Organised,10243,985977
60,42,42,Organised,53652,203085
63,60,62,Organised,56464,140770
32,33,48,Organised,51174,86690
45,50,62,Organised,43613,882920
52,68,61,Organised,24622,111017
50,50,65,Organised,52022,534742
32,66,37,Organised,18428,760291
50,65,50,Organised,53268,19913
53,46,65,Organised,47587,973370
64,33,37,Organised,30042,553802
59,59,43,Organised,49309,281332
32,33,48,Organised,82436,393422
38,32,32,Organised,33064,725980
46,53,40,Organised,7406,879918
32,66,37,Organised,98650,367272
50,65,50,Organised,40922,68060
60,42,42,Organised,55984,594941
32,33,48,Organised,16874,671577
50,65,50,Organised,76521,362482
38,32,32,Organised,58062,591841
63,62,33,Organised,9902,870885
55,62,42,Organised,52081,205085
56,53,52,Organised,58214,638502
65,50,35,Organised,50153,879452
51,38,49,Organised,107256,580417
52,55,39,Organised,91423,658467
63,62,33,Organised,99775,757222
32,33,48,Organised,39251,499977
32,66,37,Organised,97575,482520
50,65,50,Organised,105940,460394
50,50,65,Organised,11402,49586
45,50,62,Organised,28832,311225
67,66,45,Organised,37517,579817
38,32,32,Organised,28768,786546
52,55,39,Organised,79054,719471
36,34,68,Free Form,56215,180206
50,50,65,Organised,37613,555783
50,65,50,Organised,55841,211664
50,65,50,Organised,51822,732245
32,66,37,Organised,6974,55624
52,68,61,Organised,52661,477093
55,40,55,Organised,83462,108698
64,33,37,Organised,70634,642585
65,40,35,Organised,71537,868663
50,40,50,Organised,42925,604484
67,66,45,Organised,80766,844217
50,50,65,Organised,87894,9435
32,66,37,Organised,30053,178829
44,68,50,Organised,99385,10054
56,53,52,Organised,47078,58181
38,32,32,Organised,100541,31416
67,56,51,Organised,87199,421539
73,59,53,Organised,49756,225183
60,42,42,Organised,49611,280017
50,65,50,Organised,65665,442915
65,40,35,Organised,24599,416568
64,33,37,Organised,14464,321605
50,50,65,Organised,42505,922491
68,58,50,Organised,42810,762477
67,56,51,Organised,39,425950
50,35,50,Organised,99074,557604
42,63,64,Organised,89617,402233
32,66,37,Organised,44442,834639
50,65,50,Organised,81283,302252
34,51,37,Organised,53092,955762
50,65,50,Organised,31977,164200
46,53,40,Organised,29294,522964
73,59,53,Organised,29194,736392
53,47,53,Organised,51985,269296
63,60,62,Organised,99595,400977
63,62,33,Organised,41263,129315
62,62,39,Organised,29217,729633
45,50,62,Organised,63188,721529
65,45,35,Organised,60139,381680
67,66,55,Organised,8001,308979
53,47,53,Organised,37301,833849
32,66,37,Organised,82233,248651
32,33,48,Organised,2851,65103
38,32,32,Organised,97446,28540
50,65,50,Organised,35254,424809
57,49,52,Organised,60765,628722
52,55,39,Organised,12234,525671
50,65,50,Organised,65728,505017
64,43,37,Organised,55800,637224
55,60,33,Organised,22749,493659
50,40,50,Organised,79947,180218
32,33,48,Organised,47868,945870
38,32,32,Organised,6932,965060
50,40,50,Organised,46974,560227
73,59,53,Organised,67451,136757
56,53,52,Organised,12520,651342
62,62,39,Organised,28560,609149
58,46,50,Organised,91108,837413
34,51,37,Organised,97688,693953
50,50,65,Organised,3085,872597
38,32,32,Organised,32445,72604
50,65,50,Organised,69600,574769
36,34,68,Free Form,30955,191784
55,60,33,Organised,56748,49332
64,43,37,Organised,18315,40448
52,68,61,Organised,99147,608277
65,45,35,Organised,31820,62113
55,40,55,Organised,12663,39399
50,40,50,Organised,72550,423657
49,54,36,Free Form,19972,747761
65,47,35,Organised,30790,689840
68,58,50,Organised,40957,453274
67,56,51,Organised,106832,978002
52,68,61,Organised,76993,79298
65,45,35,Organised,34426,399502
68,58,50,Organised,47908,955051
58,68,37,Organised,81579,904676
65,47,35,Organised,68779,618381
55,60,33,Organised,71212,704607
68,58,50,Organised,89686,382485
42,63,64,Organised,73474,46506
55,60,33,Organised,100843,159101
65,47,35,Organised,78124,559762
68,58,50,Organised,70439,819748
42,63,64,Organised,77954,602505
58,68,37,Organised,91364,971207
32,33,48,Organised,2330,458531
42,63,64,Organised,21369,705308
58,68,37,Organised,47635,528508
50,65,50,Organised,5280,751806
63,62,33,Organised,57926,410478
32,33,48,Organised,62350,368804
52,55,39,Organised,78170,770110
32,66,37,Organised,75209,205147
34,51,37,Organised,24300,710993
38,32,32,Organised,90940,80955
56,53,52,Organised,44957,704430
58,46,50,Organised,42682,447565
60,42,42,Organised,107852,769650
46,53,40,Organised,17945,287852
63,60,62,Organised,94005,842653
62,62,39,Organised,44325,751177
63,62,33,Organised,58196,491092
52,68,61,Organised,6420,152091
45,50,62,Organised,102928,130434
38,32,32,Organised,107017,271517
32,66,37,Organised,104627,377077
50,50,65,Organised,10259,134341
50,65,50,Organised,40683,256697
32,33,48,Organised,47145,260060
80,46,56,Organised,107624,712728
72,46,70,Organised,38837,854762
78,32,70,Organised,3264,783228
62,36,57,Organised,62520,855341
46,36,46,Organised,26763,81473
35,39,65,Organised,33489,439432
52,62,62,Organised,35173,512988
56,70,44,Organised,13660,237381
41,55,47,Organised,80484,617444
58,62,69,Organised,58591,903189
65,45,35,Organised,49825,517300
35,39,65,Organised,19653,573096
45,49,47,Organised,71923,752805
46,52,68,Organised,99935,812223
35,31,67,Organised,37883,150001
45,35,45,Organised,31323,696764
78,32,70,Organised,40657,916592
55,59,54,Organised,72979,965863
52,62,62,Organised,71451,357794
80,46,56,Organised,50999,645798
55,59,60,Organised,17953,311801
72,46,70,Organised,48871,1524
56,70,44,Organised,104876,120672
35,39,65,Organised,7239,370882
65,45,35,Organised,50221,609487
45,49,47,Organised,25403,291833
60,56,70,Organised,52967,83451
41,55,49,Organised,40954,198124
49,63,67,Organised,17039,652384
56,52,34,Free Form,58717,75691
48,72,73,Organised,88391,908277
55,59,54,Organised,95526,686889
35,31,67,Organised,48517,328682
40,76,69,Organised,21509,922540
37,63,46,Organised,3198,577990
35,39,65,Organised,68100,243217
41,55,47,Organised,32706,950782
55,59,54,Organised,28736,294081
60,56,70,Organised,102787,964210
40,40,40,Organised,107124,352131
68,54,57,Organised,10675,338932
41,55,49,Organised,46028,326254
53,24,35,Organised,29532,135119
35,31,67,Organised,31190,188610
34,70,58,Organised,21187,944222
65,45,35,Organised,8672,38951
37,63,46,Organised,34277,263709
40,76,69,Organised,56806,210289
55,59,54,Organised,49485,119893
68,54,57,Organised,9854,619428
46,36,46,Organised,4680,746966
45,71,73,Organised,108497,332618
40,20,26,Free Form,67708,686000
71,71,71,Organised,4533,146551
36,36,36,Free Form,61065,305880
56,70,44,Organised,63989,80625
48,42,63,Free Form,71960,841843
46,36,46,Organised,95877,383768
64,58,31,Organised,34179,129701
37,63,46,Organised,63132,821747
35,31,67,Organised,89457,498018
41,75,62,Organised,85304,445801
40,76,69,Organised,98905,117864
55,59,54,Organised,51506,72236
68,54,57,Organised,16436,213659
48,42,63,Free Form,89921,106375
49,63,67,Organised,41427,304900
46,36,46,Organised,8708,254219
48,72,73,Organised,27968,888905
45,35,45,Organised,12238,96422
41,55,49,Organised,59858,203437
33,39,67,Organised,4664,235878
64,58,31,Organised,74144,431540
58,62,69,Organised,88333,731162
56,70,44,Organised,7485,857444
65,45,35,Organised,50395,561354
37,63,46,Organised,50269,525536
36,36,36,Free Form,87027,671354
62,36,57,Organised,36606,155160
48,72,73,Organised,42005,347938
