V22,V23,V24,i_id,index
3.8049,2.2355,1.7993,9368,2530
3.7951,2.248,1.7993,1786,6126
3.7438,2.233,1.8062,1414,641
3.7646,2.233,1.7781,12836,2178
3.7948,2.2279,1.8129,15425,9599
3.7836,2.238,1.7924,2146,7779
3.7754,2.2253,1.7853,9210,6483
3.2266,1.7634,1.7924,11567,10590
3.8,2.248,1.8261,1136,4689
3.8237,2.248,1.8573,11879,121
3.8012,2.248,1.7924,2262,68
3.7992,2.2430000000000003,1.7853,6983,7839
3.7859,2.238,1.8261,4931,70
3.815,2.2355,1.9031,12776,6904
3.798,2.2430000000000003,1.8261,8793,9225
2.3997,1.5185,1.2041,10489,9602
3.7904,2.238,1.8195,1331,3087
3.7759,2.238,1.8325,7346,861
3.7669,2.248,1.7781,7009,247
2.3404,1.5315,1.1461,7547,5381
3.8079,2.2430000000000003,1.8389,14213,8575
3.8131,2.248,1.8261,12310,4168
3.8096,2.248,1.8633,7007,781
3.7981,2.2406,1.8633,1528,3288
3.7911,2.2430000000000003,1.8129,15403,3469
3.8135,2.238,1.8062,10201,6538
3.8377,2.2430000000000003,1.8261,4490,2553
3.823,2.2430000000000003,1.8451,10481,1500
2.2304,1.3979,1.1139,12911,7308
3.8453,2.2430000000000003,1.8389,13827,9586
3.8176,2.2455,1.8325,1823,5460
3.7880000000000003,2.2355,1.8513,5025,8751
3.7989,2.2553,1.8325,3458,5956
3.8006,2.2304,1.8195,11172,5042
3.7403,2.2279,1.7559,14283,3015
3.7430000000000003,2.2253,1.7634,15586,3072
3.7906,2.233,1.7708,672,1332
3.755,2.2279,1.7924,7696,3858
3.7655,2.2253,1.8129,14327,4556
3.7645,2.2175,1.7924,15221,3942
3.7657,2.2304,1.8129,6519,9184
3.6107,2.1139,1.716,9653,8228
3.6273,2.0934,1.7324,10837,8233
3.6802,2.2253,1.7404,14554,2644
3.6451,2.1399,1.7243,1509,2607
3.6097,2.1139,1.7324,11822,8434
3.6381,2.1106,1.7076,1567,8170
3.5978,2.1072,1.6902,7738,1677
3.5385,2.0756,1.6902,2653,6999
3.6431,2.1399,1.7243,3594,8494
3.6399,2.1430000000000002,1.7634,10576,5344
3.5825,2.1818,1.6812,4379,613
3.5911,2.0934,1.716,9818,7897
3.5884,2.1461,1.7076,422,8846
4.1579,2.8882,2.0899,13483,4372
4.2055,2.3503,2.1303,3727,4616
4.1255,2.3503,2.0969,1947,5552
4.1945,2.3962,2.0899,4362,10289
4.1821,2.9335,2.1903,7080,6410
3.5228,2.1430000000000002,1.699,820,18
3.5169,2.0645,1.699,11643,111
3.5238,2.0492,1.6812,6879,572
3.5599,2.0969,1.6812,12493,7521
3.7532,2.0086,2.0414,13479,5602
3.5089,2.0828,1.6902,11502,2583
3.7863,2.0899,2.0531,6595,1400
3.883,2.1038,2.1492,4473,9177
3.85,2.0756,2.1430000000000002,6556,3665
3.7316,1.6233,2.356,12702,1598
2.42,1.3802,1.2041,9435,9463
1.7924,1.3979,0.8451,11682,3417
1.3424,0.8451,0.6021,5689,3634
1.9345,0.9542,1.1139,12751,1894
1.6233,1.0792,0.7782,5318,4186
1.2305,0.6990000000000001,0.6021,12747,8912
1.2553,0.9031,0.6021,6846,4018
1.0792,0.6021,0.6021,503,3486
1.0792,0.6021,0.7782,14415,6501
1.0792,0.6021,0.6021,7597,7440
1.0792,0.6990000000000001,0.6990000000000001,12538,9107
1.0792,0.6990000000000001,0.6021,5434,1986
1.1461,0.9542,0.4771,98,6899
1.0792,0.7782,0.4771,13306,10548
1.1761,0.8451,0.4771,8069,3224
1.0792,0.7782,0.4771,9575,2329
1.8129,1.0,1.0,7864,10842
1.0792,0.9031,0.6021,3526,1777
1.0792,0.6990000000000001,0.6021,3763,3777
1.0414,0.6990000000000001,0.4771,12281,1279
1.2305,0.6990000000000001,0.6990000000000001,8392,3296
1.1761,0.7782,0.6021,10558,7686
1.0792,0.6021,0.6021,14930,5936
0.9542,0.6990000000000001,0.4771,1511,6370
0.9031,0.4771,0.6021,3500,8897
0.9031,0.6021,0.4771,2411,4537
0.9542,0.6021,0.4771,12056,1082
0.7782,0.4771,0.4771,5422,6228
0.7782,0.7782,0.301,2516,5290
1.0,0.6021,0.6021,15559,6809
1.2041,0.9031,0.6021,1715,1599
1.2305,0.8451,0.6021,5934,10524
1.4472,1.0414,0.7782,2187,8784
1.2041,0.8451,0.6021,10683,6605
1.8261,1.301,1.0792,8481,3113
1.2041,0.7782,0.6021,4437,9680
1.2553,0.8451,0.6021,4353,9485
1.2305,0.9031,0.6990000000000001,9245,9112
1.415,1.0,0.6990000000000001,761,1933
1.2553,0.8451,0.6021,5631,3798
1.2305,0.7782,0.6990000000000001,12694,7289
1.2041,0.6990000000000001,0.6021,5675,3758
1.2305,0.6990000000000001,0.6021,3235,1425
1.2041,0.7782,0.7782,14952,8901
1.2305,0.6990000000000001,0.6021,14378,7936
1.2553,0.7782,0.7782,13193,7437
1.2553,0.7782,0.6990000000000001,1770,3073
1.2553,0.7782,0.6021,2762,3795
1.2305,0.7782,0.7782,13554,6076
1.2041,0.8451,0.6990000000000001,10064,961
1.2041,0.6990000000000001,0.7782,3956,2177
1.5051,1.1461,0.7782,12990,2056
1.2041,0.6990000000000001,0.6021,3292,10090
1.2041,0.7782,0.6990000000000001,14665,1863
1.2041,0.7782,0.6990000000000001,7652,5601
1.3222,0.9031,0.6021,10401,6625
1.2305,0.7782,0.6990000000000001,9823,1795
1.3424,1.0,0.6021,13041,116
1.6902,1.0792,0.9031,2014,3672
1.2041,0.8451,0.6021,1757,7761
1.2305,0.8451,0.7782,1113,4921
1.2553,0.9031,0.6990000000000001,12191,10309
1.2041,0.8451,0.6021,13645,2441
1.2041,0.6990000000000001,0.6021,12330,5288
1.2305,0.7782,0.6021,10703,9454
1.2787,0.7782,0.6990000000000001,10087,6619
1.3222,1.0,0.7782,13046,9594
1.415,0.9031,0.9031,6504,7853
1.415,0.9031,0.8451,3779,6534
1.2787,1.0,0.6021,8248,9573
1.2305,0.8451,0.6990000000000001,4629,5687
1.2041,0.6990000000000001,0.6021,118,8910
1.2041,0.7782,0.6990000000000001,14263,9841
2.4281,1.1461,1.4914,1003,6474
2.5682,1.1761,1.7559,15272,2075
2.5185,1.0,1.7853,4445,6110
2.316,0.9542,1.5911,13352,5904
2.7738,1.0414,1.9085,12724,10237
2.7619,1.3222,1.8692,1694,9661
2.8965,0.9031,2.1038,11549,9284
2.1614,0.7782,1.5563,15292,6591
1.9868,0.8451,1.3979,10669,10732
2.1430000000000002,0.8451,1.5441,14492,10476
2.2430000000000003,0.8451,1.5798,7903,10357
2.1584,0.6990000000000001,1.6628,1337,9697
1.8633,0.6021,1.4771,7547,741
1.9494,0.6990000000000001,1.4472,6719,4361
1.8573,0.6990000000000001,1.2553,396,3098
1.8062,0.7782,1.2553,2097,7058
2.0607,0.7782,1.4624,708,7515
1.7634,0.7782,1.301,5557,2656
1.7781,0.7782,1.2553,11827,8421
2.1271,1.5563,0.9031,11112,4149
1.716,1.2041,0.8451,8948,10723
2.0899,1.4472,0.9031,375,3450
1.9085,1.4314,0.6021,6683,4178
1.7482,1.301,0.6021,5322,10359
1.8325,1.3424,0.6990000000000001,15506,1566
1.8976,1.1139,0.9542,10394,4044
3.3071,1.3617,2.1818,12785,7716
1.8921,0.9542,1.2305,8308,2956
2.1038,0.7782,1.4914,390,1975
2.7324,1.0,1.9445,10873,9806
2.8549,1.0414,2.0128,5818,5400
2.7566,1.0,1.9777,4285,3147
3.0342,1.0414,2.1761,2748,1309
3.0017,1.2041,2.1271,15373,8421
2.6785,1.0414,2.0294,11077,82
2.842,1.2305,2.0607,6404,6824
2.5038,0.9542,1.699,13362,1229
2.7672,1.0414,2.017,7295,2096
2.6946,1.0414,1.9494,11529,7600
2.6919999999999997,0.9542,1.9085,6921,3625
2.9863,1.0792,2.2122,13525,4275
2.8651,1.0414,2.0492,5407,1530
2.989,1.0792,2.1430000000000002,9968,1916
2.8488,1.0414,1.9685,9062,7069
2.9666,1.0414,2.1614,9528,4352
2.8149,1.0414,2.0414,4384,4134
2.017,0.7782,1.415,5642,2167
2.0212,0.8451,1.3424,5930,6895
1.9138,0.7782,1.3222,3904,454
1.7559,0.8451,1.1761,13031,697
2.0453,0.9031,1.3802,1061,10468
2.2068,0.9031,1.4472,11593,2443
1.8325,0.9031,1.1461,15087,2629
1.9395,0.7782,1.301,3983,407
1.9395,1.0,1.1761,4195,612
2.0531,1.0414,1.0792,7976,10580
3.2582,1.9823,1.8808,8966,4472
1.6128,0.8451,1.0414,2081,5958
2.7694,1.2305,1.7076,9899,28
2.0253,1.0414,1.0792,9740,2777
2.7868,1.415,1.699,13631,9967
2.1903,1.1139,1.1461,553,10814
2.3927,1.0792,1.4624,6412,10336
2.1303,0.9542,1.301,77,8483
2.5752,1.0414,1.6628,8073,4470
2.3054,0.9542,1.4624,5288,6806
2.1206,1.3424,0.9542,15628,9876
2.2967,0.8451,1.5682,1032,4327
2.1072,1.0414,1.2041,8428,438
2.1553,1.0792,1.2041,13667,2328
2.3444,1.1761,1.3424,5598,7186
2.0569,1.0792,1.1461,10402,9676
2.2455,1.6128,0.9031,6491,2075
2.2455,1.1139,1.2787,6147,2255
2.7101,1.5563,1.4472,7947,285
2.1761,1.4314,1.0,11668,4173
2.2577,1.1139,1.301,5757,461
2.4456,1.2041,1.3979,8265,8298
2.0253,1.2041,1.1461,9556,4822
2.1038,1.1139,1.1761,13877,4419
1.699,0.9031,1.0,13817,2825
1.9445,0.8451,1.2787,11007,7680
1.5315,0.9031,0.7782,7290,5538
1.6628,0.9031,0.8451,8294,8742
1.5798,0.9031,0.9542,9319,10030
1.5441,0.8451,0.9031,12347,8229
1.8195,1.0792,0.9542,6834,7341
1.5911,0.8451,0.8451,5232,3445
1.5798,0.9542,0.9031,8334,6368
1.5051,0.8451,0.9031,8019,4742
1.8261,1.0,0.9542,1318,2924
1.8062,1.0,1.0,2972,2741
2.0607,1.1461,1.1461,7187,3376
2.1271,1.1761,1.1139,13770,3289
1.8389,0.9542,1.0414,13482,8423
2.0043,0.9542,1.1461,9371,10573
2.7903,1.4771,1.5315,9261,5578
1.9685,1.1139,1.0414,5888,7126
1.8325,1.0,1.0,5518,7462
1.8261,0.9542,1.0,6501,1469
2.2201,0.9542,1.4771,2427,1069
1.8751,1.0,1.0,7906,10462
1.9138,1.0,1.0414,13407,7649
1.9085,1.1139,1.0,5099,6648
1.7404,0.9542,0.9031,7509,7316
2.3181,1.1461,1.301,7435,2867
2.1703,1.0792,1.3424,5024,1505
2.1004,0.9542,1.2553,7286,6090
2.2095,1.1139,1.3424,4269,1596
2.0,1.0792,1.0792,13048,9880
2.5172,1.3617,1.3424,12189,10799
1.716,0.7782,1.0792,6767,9260
2.1399,1.0792,1.1761,12549,1914
1.9395,1.0,1.0792,12241,5256
1.9395,1.0,1.0414,7183,2123
1.7482,0.8451,1.0792,10272,6028
2.8189,1.4472,1.5185,5362,10864
1.8195,1.0414,1.0,13838,674
2.2648,1.2041,1.2553,15374,3323
2.8209,1.5563,1.4624,6111,6165
2.2648,1.1761,1.3222,14950,3674
1.8451,0.9031,1.0414,8418,1287
2.0294,1.1139,1.0792,10651,7878
1.9243,1.1761,0.9031,3764,1450
2.1004,1.0,1.3222,5622,7394
1.9542,0.9031,1.1761,9205,3209
2.1584,1.0792,1.2305,13804,6431
1.8261,0.9031,1.1461,5691,2962
1.9731,0.9542,1.1461,13943,516
2.2122,1.1139,1.2787,3241,3859
2.3096,1.3979,1.1139,3465,3932
1.8921,0.9031,1.1461,4009,6335
1.7924,1.0,0.9542,11420,10524
2.0414,1.0792,1.0414,10946,920
1.8129,1.0792,1.0,10422,8996
1.7634,0.9542,0.9542,6753,3915
1.8325,0.9542,1.0,11252,1697
2.9149,1.5798,1.6233,14310,3702
1.8325,0.9542,1.0,12826,6209
1.7708,1.0,1.0792,14133,9369
1.8513,0.9542,1.0792,12736,2643
3.0531,1.3802,1.9685,11298,10523
3.0512,1.3617,1.959,14031,9008
1.8195,0.9542,1.0414,2611,10385
1.8389,0.9542,1.0,880,4725
2.4065,1.1761,1.415,407,104
1.8921,1.0414,0.9031,13697,5649
1.7324,0.9542,0.9031,9458,281
1.8692,1.0,1.0,12978,4392
2.3979,1.2041,1.301,10501,3269
1.7076,0.9031,0.9031,11200,8740
1.9345,1.0414,1.0,14405,6888
1.7404,0.9031,0.9031,518,2619
2.0414,1.0,1.1461,15686,1395
2.574,1.3424,1.3617,5686,3121
1.8261,0.9542,1.0414,6995,6039
2.1004,1.0414,1.2553,2647,5937
1.8808,0.6990000000000001,1.3222,2042,1266
2.9445,1.9191,1.3802,9367,9138
1.716,0.9031,0.9542,13475,6548
2.0492,0.7782,1.4472,3401,5259
1.7708,0.8451,1.0,7906,5775
1.9243,0.9542,1.1461,14769,5793
1.7404,0.6990000000000001,1.1461,12901,2787
1.8325,0.9031,1.1461,9239,3017
1.8921,0.8451,1.2041,949,10446
2.0864,0.7782,1.4624,11317,6753
1.8261,0.9542,1.0414,3013,8539
1.7482,0.9542,0.9031,14222,2860
2.0043,1.0,1.1761,6335,7323
1.8261,0.9542,1.0414,6125,2515
1.8865,1.0,1.1461,7146,5716
1.9494,1.0414,1.0792,1892,4477
1.716,1.0,0.9031,14843,4182
2.0212,1.3424,1.2305,3339,10407
1.7324,1.0,0.8451,3354,7870
2.2856,1.0,1.4771,14281,9129
2.3483,1.1761,1.3617,13362,5814
1.9345,0.9542,1.1461,7836,2353
2.0414,0.9031,1.3802,5990,7892
1.9085,1.0,1.1139,13289,2565
2.0645,1.2305,0.9542,9991,7011
2.0414,1.2553,1.0414,2974,1580
1.9494,1.2787,0.9542,11635,51
1.7076,1.1139,0.8451,6808,9687
1.8808,1.3617,0.6990000000000001,7162,5463
1.7076,0.9031,0.9542,6994,1943
2.4014,1.1761,1.3979,11693,5659
2.0086,1.0792,1.1461,1875,9463
2.9908,1.5185,1.8389,7302,9263
1.716,0.9542,0.9031,10021,4956
2.4624,1.3424,1.301,10401,6886
1.7482,0.9542,0.9031,1695,4245
1.7482,1.1761,0.9542,6967,653
2.3541,0.9542,1.6435,9651,6047
2.2718,1.2553,1.415,11625,9478
2.233,1.0,1.4472,6731,9172
2.5832,1.2553,1.5185,1932,6260
2.0792,1.1139,1.1139,4796,1516
2.6284,1.3222,1.415,14698,10255
2.0453,1.0792,1.0792,15624,2704
1.9823,0.9542,1.2305,13751,6631
2.1239,1.0792,1.1461,11570,575
1.7993,0.9542,1.0,10469,9134
1.8389,0.9031,1.0414,10342,3515
2.2175,1.1461,1.1761,14869,10213
2.3892,1.1761,1.3617,2107,7912
1.9445,1.0,1.0414,13294,4393
2.0253,1.0414,1.1139,2454,5153
2.1875,1.1139,1.2041,229,227
1.9445,0.9031,1.301,10590,1484
2.2279,1.1461,1.2787,4978,9370
1.9031,0.9542,1.1139,5879,6401
1.7993,0.8451,1.1461,4588,220
1.9243,1.0414,1.0414,11398,7083
1.8976,0.9542,1.1761,15107,3894
1.8195,1.0,1.0,12015,9703
2.5441,1.415,1.3222,14261,7522
1.9294,1.0,1.0792,12073,7130
1.9138,1.1761,0.9031,11586,9314
1.7781,0.8451,1.0414,3718,5624
2.0334,1.0,1.2305,14131,1582
1.7559,0.9542,0.9031,8856,4566
1.5315,0.7782,1.0,6605,455
1.7076,1.3802,0.7782,4249,1776
2.0645,1.0414,1.1461,9199,2560
1.8976,1.0,1.1761,5213,7409
2.0569,1.1761,1.0414,10591,5537
1.5798,0.9031,0.8451,2947,1718
1.5051,0.7782,0.9031,7861,6230
1.3979,0.7782,0.7782,12896,109
1.6532,0.9542,0.8451,55,7360
2.3483,1.1461,1.5051,14911,2454
1.7924,0.9542,0.9542,4915,1860
1.9243,1.0414,1.0792,7375,5311
2.1367,1.1139,1.1139,1603,7764
2.1703,1.1139,1.2553,4596,9004
1.716,0.9031,0.9542,8204,7231
1.8325,1.0414,1.0,215,1528
1.7781,1.0,1.0,9372,5436
2.0531,1.1139,1.0792,674,2331
1.7076,0.9031,0.9542,6583,9420
1.8451,1.0414,1.0,6202,8627
1.8195,1.0,1.0,9260,10162
2.017,1.0414,1.1139,13984,9073
2.1461,1.1139,1.1461,1991,2041
1.8062,1.0414,0.9031,3320,3168
1.7559,1.0414,0.8451,6110,354
2.0569,1.1139,1.1139,14707,5974
1.7634,1.0,0.9031,14265,2741
2.8848,1.4771,1.5682,13897,10690
1.8195,0.9031,1.1139,4400,9314
1.7708,0.9031,0.9031,11362,903
1.9685,1.0792,1.0414,15491,6226
1.9243,0.9542,1.0792,4750,372
1.8808,1.2305,0.9031,9467,2198
1.7993,1.0,1.0414,8179,8164
1.716,0.9542,0.9031,13122,3653
1.9243,1.0792,1.0,10665,4080
2.0828,1.0,1.2553,5139,3292
1.7853,0.9542,0.9542,10144,644
1.8751,1.0792,1.0414,3523,5241
1.8573,0.9542,1.0,12943,10694
1.699,0.9542,0.9542,15090,6152
1.9445,1.0,1.0792,6812,3856
2.0294,1.1461,1.0792,11362,5823
2.1673,1.0414,1.2305,3149,9331
1.9243,0.8451,1.1761,4544,8833
1.5051,0.7782,0.8451,12556,647
1.7924,1.0414,1.0,14220,7511
2.4362,1.0,1.6021,8872,395
3.0704,1.4914,1.7324,4084,10295
3.3802,1.6335,1.9685,12771,2292
2.248,1.1139,1.2553,5215,7621
1.7853,0.8451,1.0,7080,7915
2.3424,1.2041,1.3222,1488,3235
1.8261,0.9542,1.0,1350,5177
2.5327,1.0792,1.6335,4472,5209
1.7559,0.7782,1.1461,3901,5628
1.9031,0.9542,1.0792,15042,7273
2.0453,1.0792,1.0414,9027,4747
1.9912,1.0414,1.0414,11069,7652
2.2253,1.0792,1.301,9216,1585
2.2355,1.1461,1.3979,6548,442
2.8,1.3617,1.7076,784,8059
3.0065,1.415,1.7559,2648,8805
2.7489999999999997,1.3979,1.6721,4318,9770
3.9238,2.7235,1.5563,1330,9784
2.1987,1.3802,1.3802,2734,7860
1.7781,0.9031,1.1461,10358,2614
1.7076,0.8451,1.0,15568,9449
1.9542,1.0414,1.0414,6048,10811
2.3263,1.0792,1.4771,13394,31
2.3365,1.2041,1.4624,9115,2057
1.9085,0.9031,1.2305,2546,2216
2.3784,1.0792,1.6233,13593,10790
1.7708,1.1139,1.0,10071,1207
1.7993,0.8451,1.0792,2339,6121
2.3324,1.0,1.5911,8899,1471
2.5441,1.8195,1.1139,2487,497
2.0492,1.4472,0.9542,5983,2313
2.2304,1.3802,1.1461,15123,2231
2.1847,1.4472,1.1761,6555,9639
2.1461,1.3424,1.0792,2050,7671
2.2253,1.5441,1.1461,2404,6305
2.3541,1.6335,1.1761,9140,1317
2.0645,1.415,1.0792,2612,2742
2.017,1.1139,1.0414,3632,9825
2.1931,1.0414,1.301,324,6589
2.1335,1.2041,1.2787,11011,1179
2.5763,1.0792,1.6532,2149,5496
2.3503,1.0414,1.4914,9961,9345
2.2122,1.0414,1.301,3808,2849
2.2355,1.0792,1.2305,4726,8404
2.2648,1.2305,1.2553,25,9414
2.4829,1.301,1.4314,13369,10505
2.1461,1.1461,1.2553,2231,3856
2.4183,1.2787,1.2787,6085,3182
2.4166,1.3222,1.2305,14174,9984
2.0043,1.1139,1.1139,13243,4567
2.1584,1.0414,1.2787,13775,1043
2.0645,1.2041,1.0,4154,3266
2.7505,1.3617,1.5315,9338,4154
3.5034,1.8513,1.9956,13590,7046
2.3222,1.1139,1.3424,12369,775
2.0492,1.0414,1.1461,9464,8277
2.0569,0.9542,1.1761,8757,8977
2.6493,1.1761,1.716,3011,10799
2.1430000000000002,1.0792,1.2041,243,10823
2.2504,1.1761,1.2305,11773,772
2.1072,1.1761,1.1461,6358,7728
2.6628,1.5185,1.3617,6848,1968
2.0492,1.0,1.1461,13737,4432
2.0086,1.0792,1.0414,4480,1916
2.415,1.2305,1.301,6099,9780
2.0253,1.0792,1.1139,9150,10406
2.2504,1.2305,1.2041,3621,5256
2.7489999999999997,1.6335,1.5682,14,2670
2.2695,1.3617,1.1461,8356,6005
2.1173,1.2041,1.2041,13439,51
3.5097,1.9395,2.1399,7711,5364
3.6687,2.1931,2.017,12189,2223
3.0394,1.7076,1.8573,9417,4791
2.7033,1.6812,1.3424,5430,6664
2.7566,1.6128,1.5315,6396,7511
2.8976,1.4771,1.7708,11909,10715
2.9557,1.5682,1.7404,1588,1091
2.7411,1.5051,1.4314,3316,6994
2.5159,1.4624,1.4472,43,6583
2.4314,1.3802,1.301,12661,4243
2.3222,1.3222,1.4472,6587,4931
2.3636,1.2041,1.301,8322,4866
2.0374,1.1761,1.0,12616,5570
2.4048,1.2787,1.301,12551,758
2.0212,1.0792,1.0414,15305,5456
2.2201,1.1761,1.2041,11563,2872
2.0969,1.1461,1.0792,10743,8771
2.525,1.3802,1.4771,11563,10034
2.0043,1.0414,1.0792,8862,10065
2.1553,1.1761,1.0792,6253,9063
2.0569,1.1461,1.0414,12445,10199
2.0414,1.1139,1.0414,1234,928
2.0569,1.0792,1.0792,15128,4022
2.0607,1.1461,1.0792,4075,2635
2.0934,1.1139,1.1139,10029,4898
2.0569,1.1139,1.0414,10589,1759
2.1206,1.1139,1.1761,10336,3541
2.4502,1.2305,1.5051,15720,2298
2.0969,1.0792,1.1461,15230,5216
2.42,1.2553,1.3617,7102,9409
2.2833,0.9542,1.5051,10316,7850
2.0828,1.1139,1.1139,8842,1645
2.3944,1.2553,1.301,1442,4005
2.0334,1.0792,1.1461,3339,1085
2.0607,1.1461,1.0792,3996,1488
2.6107,1.3424,1.4314,6161,1720
2.6656,1.5051,1.3617,4355,5443
2.0828,0.9542,1.301,4344,5197
1.8751,0.9031,1.1761,11918,6070
1.8129,0.9031,1.2305,2823,5753
2.0334,1.1139,1.0414,1805,8324
2.1239,0.9542,1.3222,12086,10354
1.7993,0.9031,1.2787,176,5216
1.699,0.9031,1.0,13702,3562
1.7924,0.8451,1.1761,8622,7411
2.3096,1.2305,1.2305,13360,4707
2.017,1.3424,1.0792,11036,1792
2.2923,1.2305,1.2553,6864,4498
2.2577,1.7559,1.0792,15635,9771
2.1106,1.4624,1.2553,10874,99
2.1553,1.3424,1.1139,14340,6012
2.1004,1.4624,1.0414,2416,1984
2.0414,1.4914,0.7782,12363,5499
2.0043,1.1139,1.0792,6114,1536
2.2577,1.3617,1.2305,5946,6146
2.0864,1.3424,1.2041,6396,10213
2.0212,1.2305,1.1139,14337,4884
2.0531,1.3222,1.1761,13553,3364
2.1903,1.2553,1.1761,3951,9802
2.0294,1.2553,1.0,11095,5381
2.0719,1.1761,1.3222,3937,960
2.1673,1.2787,1.2553,6831,5333
2.1673,1.3617,1.301,9702,700
2.0212,1.1761,1.0,10988,9395
2.0086,1.301,1.1461,14818,4937
2.2068,1.3802,1.3222,4567,4812
2.2253,1.4314,1.2553,11785,7081
2.0969,1.301,1.2041,228,7870
2.0719,1.3222,1.0792,2369,1721
2.2923,1.415,1.3617,10841,10108
2.4885,1.2041,1.5563,3641,331
2.4378,1.5185,1.301,4726,9807
2.1106,1.3222,1.2305,5734,4247
2.2878,1.2041,1.2787,4608,6217
2.4955,1.5798,1.301,4328,8795
2.0569,1.2553,1.301,565,10267
2.1818,1.301,1.3424,12499,3931
2.0682,1.2553,1.1761,8751,5286
2.1644,1.3979,1.2553,5512,7464
2.0253,1.3222,1.0,3282,1227
2.2430000000000003,1.5441,1.1461,15669,10428
2.3181,1.5185,1.3979,6158,434
2.3766,1.2305,1.5185,11247,5932
2.5855,1.8195,1.1139,1460,3856
2.4609,1.2787,1.415,7434,1465
2.5611,1.5563,1.415,2999,7539
2.2279,1.4314,1.1461,14708,369
2.0086,1.0414,1.1461,11589,8706
2.7589,1.3979,1.5315,6013,3040
2.2878,1.2305,1.3802,50,4387
2.8921,1.4314,1.6233,12061,6667
2.5263,1.3222,1.3424,2383,10136
2.1106,1.1139,1.1139,4748,10356
2.1553,1.0414,1.301,14921,3921
2.1492,1.0792,1.2041,10218,191
2.1239,1.1761,1.1461,6946,2433
2.0043,1.0792,1.1139,10864,9241
2.1673,1.2041,1.1139,11894,8733
2.2122,1.1761,1.2041,10392,6304
2.3766,1.1761,1.3424,15292,10566
2.8445,1.5051,1.4914,9331,2416
2.7566,1.4771,1.3979,8740,3431
2.2455,0.9542,1.5051,2684,1165
2.1523,1.0,1.4472,5275,3041
2.0756,1.0792,1.0792,11539,7895
2.0899,1.0414,1.2553,7194,7345
2.2095,0.9542,1.3617,10320,4969
2.5428,1.2305,1.4472,7791,7140
2.0864,1.0792,1.1761,14697,1521
2.3636,1.2041,1.4314,12059,8782
2.4579,1.2787,1.3222,3068,610
2.1553,1.0792,1.1761,12633,6627
2.7152,1.3222,1.6128,11132,1636
2.0414,1.0,1.3424,7005,5952
2.1461,1.0414,1.4472,1998,4300
2.3636,1.3424,1.1761,8967,4232
3.0149,1.6233,1.7324,1534,3472
2.1367,1.0792,1.2041,6678,7871
2.7202,0.9542,2.0253,14280,5024
3.3915,1.4314,2.29,9157,8690
3.6333,1.5441,2.2624,353,6097
3.4221,1.3617,2.4472,8512,5783
2.4297,1.0792,1.4624,6209,5086
2.574,1.1139,1.5682,9874,3551
1.1761,0.6990000000000001,0.6021,9776,9989
3.7507,2.2279,1.7634,5667,7874
3.7746,2.233,1.8195,13887,7900
1.8389,0.9031,1.1139,7477,1541
2.1399,0.9542,1.415,15319,6199
2.0645,0.9542,1.2787,14881,9149
2.4885,1.0,1.6233,4899,569
2.0645,1.0414,1.2553,9403,270
2.1818,0.9031,1.5051,10714,3454
2.0334,0.9031,1.1761,7954,2770
2.5465,1.0414,1.716,5672,2990
2.2787,0.9031,1.4914,12947,2508
2.0453,0.9031,1.3617,5316,10448
2.3243,1.2041,1.3979,6413,6236
3.8229,1.5441,2.5752,12599,2964
2.4031,1.1139,1.6233,11837,2414
3.0512,1.2305,2.1106,2758,5304
2.0414,0.9542,1.301,3690,9585
2.0969,0.9542,1.3222,6484,4573
2.1761,1.0,1.3424,3663,465
2.1461,1.0414,1.2305,8349,8437
2.2989,1.0792,1.2787,14144,4329
2.0414,0.9542,1.2787,10418,10018
2.2923,0.9031,1.4914,11562,7455
2.1614,1.0414,1.3802,13785,8502
2.3284,0.9542,1.5682,11985,1828
2.2068,0.9031,1.4624,7799,5771
2.4829,1.0792,1.5051,155,3505
2.2068,1.0414,1.3222,12079,183
2.1367,0.7782,1.5911,11398,6895
2.0969,0.9031,1.415,3807,1489
2.2765,0.9031,1.5441,15629,5731
2.0934,0.9031,1.3424,9498,4578
1.959,0.9031,1.2305,5368,4644
1.7482,0.9031,1.0414,3934,9716
1.9191,0.6021,1.4771,6837,4494
2.1173,0.9031,1.3617,5571,278
2.4955,1.0,1.7404,4252,5318
2.9499,0.9542,2.1903,4167,5218
2.1271,0.9031,1.3979,9218,9604
2.3617,0.9031,1.699,8900,1912
2.0792,1.1461,1.2305,10677,6615
2.1239,1.1139,1.3979,7127,6088
2.0128,1.0792,1.3424,14400,4771
2.2304,1.0,1.3802,15580,920
2.2253,1.1139,1.4914,15426,969
2.0969,1.3424,1.1139,5400,2770
2.3032,1.0414,1.5315,15647,535
2.2279,0.9542,1.415,8055,5703
2.1761,1.2041,1.3802,14874,8549
2.0128,1.1461,1.1761,14175,2508
2.1644,1.2553,1.2787,4293,2459
2.4683,1.1761,1.6721,1907,7423
2.2967,1.1461,1.415,3016,7376
2.2833,1.1139,1.4914,4079,6327
2.2553,1.3222,1.2553,12645,8870
2.0294,1.0,1.2787,11715,8933
2.2601,1.0414,1.4771,4436,41
2.4216,1.0792,1.6233,9028,6246
2.3284,1.2041,1.4914,15577,9203
2.4885,1.1139,1.5911,5457,7196
2.4232,0.9542,1.6628,10081,5399
2.3598,1.3222,1.4624,412,1652
