id,date,strong_team,weak_team,win,tournament
495,2013-10-15,Netherlands,Turkey,1,FIFA World Cup qualification
496,2013-10-15,Argentina,Uruguay,0,FIFA World Cup qualification
497,2013-11-14,Belgium,Colombia,0,Friendly
498,2013-11-15,Argentina,Ecuador,0,Friendly
499,2013-11-15,Denmark,Norway,1,Friendly
500,2013-11-15,England,Chile,0,Friendly
501,2013-11-15,Greece,Romania,1,FIFA World Cup qualification
502,2013-11-15,Germany,Italy,0,Friendly
503,2013-11-15,Switzerland,Korea Republic,0,Friendly
504,2013-11-15,Portugal,Sweden,1,FIFA World Cup qualification
505,2013-11-15,USA,Scotland,0,Friendly
506,2013-11-15,Turkey,Northern Ireland,1,Friendly
507,2013-11-19,Austria,USA,1,Friendly
508,2013-11-19,Brazil,Chile,1,Friendly
509,2013-11-19,Germany,England,1,Friendly
510,2013-11-19,Netherlands,Colombia,0,Friendly
511,2013-11-19,Norway,Scotland,0,Friendly
512,2013-11-19,Poland,Ireland,0,Friendly
513,2013-11-19,Greece,Romania,0,FIFA World Cup qualification
514,2013-11-19,Russia,Korea Republic,1,Friendly
515,2013-11-19,Spain,South Africa,0,Friendly
516,2013-11-19,Portugal,Sweden,1,FIFA World Cup qualification
517,2013-11-20,Mexico,New Zealand,1,FIFA World Cup qualification
518,2014-01-18,Poland,Norway,1,Friendly
519,2014-01-29,Mexico,Korea Republic,1,Friendly
520,2014-02-01,USA,Korea Republic,1,Friendly
521,2014-03-05,Ecuador,Australia,1,Friendly
522,2014-03-05,Uruguay,Austria,0,Friendly
523,2014-03-05,Belgium,Ivory Coast,0,Friendly
524,2014-03-05,Czech Republic,Norway,0,Friendly
525,2014-03-05,England,Denmark,1,Friendly
526,2014-03-05,France,Netherlands,1,Friendly
527,2014-03-05,Germany,Chile,1,Friendly
528,2014-03-05,Greece,Korea Republic,0,Friendly
529,2014-03-05,Hungary,Finland,0,Friendly
530,2014-03-05,Poland,Scotland,0,Friendly
531,2014-03-05,Portugal,Cameroon,1,Friendly
532,2014-03-05,Argentina,Romania,0,Friendly
533,2014-03-05,Brazil,South Africa,1,Friendly
534,2014-03-05,Spain,Italy,1,Friendly
535,2014-03-05,Turkey,Sweden,1,Friendly
536,2014-05-13,Germany,Poland,0,Friendly
537,2014-05-17,Netherlands,Ecuador,0,Friendly
538,2014-05-21,Czech Republic,Finland,0,Friendly
539,2014-05-22,Denmark,Hungary,0,Friendly
540,2014-05-25,Turkey,Ireland,1,Friendly
541,2014-05-26,South Africa,Australia,0,Friendly
542,2014-05-27,France,Norway,1,Friendly
543,2014-05-28,Sweden,Denmark,0,Friendly
544,2014-05-29,Cameroon,Paraguay,0,Friendly
545,2014-05-30,England,Peru,1,Friendly
546,2014-05-30,South Africa,New Zealand,0,Friendly
547,2014-05-30,Spain,Bolivia,1,Friendly
548,2014-05-30,Uruguay,Northern Ireland,1,Friendly
549,2014-05-31,Italy,Ireland,0,Friendly
550,2014-05-31,Mexico,Ecuador,1,Friendly
551,2014-05-31,Russia,Norway,0,Friendly
552,2014-05-31,Portugal,Greece,0,Friendly
553,2014-06-01,France,Paraguay,0,Friendly
554,2014-06-01,Germany,Cameroon,0,Friendly
555,2014-06-01,Belgium,Sweden,1,Friendly
556,2014-06-01,Turkey,USA,0,Friendly
557,2014-06-03,Czech Republic,Austria,0,Friendly
558,2014-06-03,Switzerland,Peru,1,Friendly
559,2014-06-04,England,Ecuador,0,Friendly
560,2014-06-04,Netherlands,Wales,1,Friendly
561,2014-06-06,Greece,Bolivia,1,Friendly
562,2014-06-06,Portugal,Mexico,1,Friendly
563,2014-06-07,Argentina,Slovenia,1,Friendly
564,2014-06-10,Portugal,Ireland,1,Friendly
565,2014-06-13,Chile,Australia,1,FIFA World Cup
566,2014-06-13,Cameroon,Mexico,0,FIFA World Cup
567,2014-06-13,Spain,Netherlands,0,FIFA World Cup
568,2014-06-14,Colombia,Greece,1,FIFA World Cup
569,2014-06-14,Italy,England,1,FIFA World Cup
570,2014-06-15,Switzerland,Ecuador,1,FIFA World Cup
571,2014-06-16,Germany,Portugal,1,FIFA World Cup
572,2014-06-17,Brazil,Mexico,0,FIFA World Cup
573,2014-06-17,Russia,Korea Republic,0,FIFA World Cup
574,2014-06-18,Netherlands,Australia,1,FIFA World Cup
575,2014-06-18,Spain,Chile,0,FIFA World Cup
576,2014-06-19,Colombia,Ivory Coast,1,FIFA World Cup
577,2014-06-19,England,Uruguay,0,FIFA World Cup
578,2014-06-20,France,Switzerland,1,FIFA World Cup
579,2014-06-22,Belgium,Russia,1,FIFA World Cup
580,2014-06-22,Portugal,USA,0,FIFA World Cup
581,2014-06-23,Spain,Australia,1,FIFA World Cup
582,2014-06-23,Brazil,Cameroon,1,FIFA World Cup
583,2014-06-23,Netherlands,Chile,1,FIFA World Cup
584,2014-06-24,Ivory Coast,Greece,0,FIFA World Cup
585,2014-06-24,Italy,Uruguay,0,FIFA World Cup
586,2014-06-25,France,Ecuador,0,FIFA World Cup
587,2014-06-26,Belgium,Korea Republic,1,FIFA World Cup
588,2014-06-26,Germany,USA,1,FIFA World Cup
589,2014-06-28,Brazil,Chile,0,FIFA World Cup
590,2014-06-28,Colombia,Uruguay,1,FIFA World Cup
591,2014-06-29,Netherlands,Mexico,1,FIFA World Cup
592,2014-07-01,Argentina,Switzerland,1,FIFA World Cup
593,2014-07-01,Belgium,USA,1,FIFA World Cup
594,2014-07-04,Brazil,Colombia,1,FIFA World Cup
595,2014-07-04,Germany,France,1,FIFA World Cup
596,2014-07-05,Argentina,Belgium,1,FIFA World Cup
597,2014-07-08,Germany,Brazil,1,FIFA World Cup
598,2014-07-09,Argentina,Netherlands,0,FIFA World Cup
599,2014-07-12,Brazil,Netherlands,0,FIFA World Cup
600,2014-07-13,Germany,Argentina,1,FIFA World Cup
601,2014-09-03,Czech Republic,USA,0,Friendly
602,2014-09-03,Czech Republic,USA,0,Friendly
603,2014-09-03,Czech Republic,USA,0,Friendly
604,2014-09-03,Czech Republic,USA,0,Friendly
605,2014-09-03,Turkey,Denmark,1,Friendly
606,2014-09-03,Turkey,Denmark,1,Friendly
607,2014-09-03,Turkey,Denmark,1,Friendly
608,2014-09-03,Turkey,Denmark,1,Friendly
609,2014-09-03,England,Norway,1,Friendly
610,2014-09-03,England,Norway,1,Friendly
611,2014-09-03,England,Norway,1,Friendly
612,2014-09-03,England,Norway,1,Friendly
613,2014-09-03,Germany,Argentina,0,Friendly
614,2014-09-03,Germany,Argentina,0,Friendly
615,2014-09-03,Germany,Argentina,0,Friendly
616,2014-09-03,Germany,Argentina,0,Friendly
617,2014-09-04,Belgium,Australia,1,Friendly
618,2014-09-04,Belgium,Australia,1,Friendly
619,2014-09-04,Belgium,Australia,1,Friendly
620,2014-09-04,Belgium,Australia,1,Friendly
621,2014-09-04,Spain,France,0,Friendly
622,2014-09-04,Spain,France,0,Friendly
623,2014-09-04,Spain,France,0,Friendly
624,2014-09-04,Spain,France,0,Friendly
625,2014-09-04,Italy,Netherlands,1,Friendly
626,2014-09-04,Italy,Netherlands,1,Friendly
627,2014-09-04,Italy,Netherlands,1,Friendly
628,2014-09-04,Italy,Netherlands,1,Friendly
629,2014-09-05,Korea Republic,Venezuela,1,Friendly
630,2014-09-05,Korea Republic,Venezuela,1,Friendly
631,2014-09-05,Korea Republic,Venezuela,1,Friendly
632,2014-09-05,Korea Republic,Venezuela,1,Friendly
633,2014-09-06,Mexico,Chile,0,Friendly
634,2014-09-06,Chile,Mexico,0,Friendly
635,2014-09-06,Mexico,Chile,0,Friendly
636,2014-09-06,Chile,Mexico,0,Friendly
637,2014-09-07,Germany,Scotland,1,UEFA Euro qualification
638,2014-09-07,Germany,Scotland,1,UEFA Euro qualification
639,2014-09-07,Germany,Scotland,1,UEFA Euro qualification
640,2014-09-07,Germany,Scotland,1,UEFA Euro qualification
641,2014-09-07,Greece,Romania,0,UEFA Euro qualification
642,2014-09-07,Greece,Romania,0,UEFA Euro qualification
643,2014-09-07,Greece,Romania,0,UEFA Euro qualification
644,2014-09-07,Greece,Romania,0,UEFA Euro qualification
645,2014-09-07,Northern Ireland,Hungary,1,UEFA Euro qualification
646,2014-09-07,Northern Ireland,Hungary,1,UEFA Euro qualification
647,2014-09-07,Hungary,Northern Ireland,0,UEFA Euro qualification
648,2014-09-07,Hungary,Northern Ireland,0,UEFA Euro qualification
649,2014-09-08,Sweden,Austria,0,UEFA Euro qualification
650,2014-09-08,Sweden,Austria,0,UEFA Euro qualification
651,2014-09-08,Sweden,Austria,0,UEFA Euro qualification
652,2014-09-08,Sweden,Austria,0,UEFA Euro qualification
653,2014-09-08,Uruguay,Korea Republic,1,Friendly
654,2014-09-08,Uruguay,Korea Republic,1,Friendly
655,2014-09-08,Uruguay,Korea Republic,1,Friendly
656,2014-09-08,Uruguay,Korea Republic,1,Friendly
657,2014-09-08,England,Switzerland,1,UEFA Euro qualification
658,2014-09-08,England,Switzerland,1,UEFA Euro qualification
659,2014-09-08,England,Switzerland,1,UEFA Euro qualification
660,2014-09-08,England,Switzerland,1,UEFA Euro qualification
661,2014-09-09,Netherlands,Czech Republic,0,UEFA Euro qualification
662,2014-09-09,Netherlands,Czech Republic,0,UEFA Euro qualification
663,2014-09-09,Netherlands,Czech Republic,0,UEFA Euro qualification
664,2014-09-09,Netherlands,Czech Republic,0,UEFA Euro qualification
665,2014-09-09,Mexico,Bolivia,1,Friendly
666,2014-09-09,Mexico,Bolivia,1,Friendly
667,2014-09-09,Mexico,Bolivia,1,Friendly
668,2014-09-09,Mexico,Bolivia,1,Friendly
669,2014-09-09,Italy,Norway,1,UEFA Euro qualification
670,2014-09-09,Italy,Norway,1,UEFA Euro qualification
671,2014-09-09,Italy,Norway,1,UEFA Euro qualification
672,2014-09-09,Italy,Norway,1,UEFA Euro qualification
673,2014-09-10,Ivory Coast,Cameroon,0,African Cup of Nations qualification
674,2014-09-10,Ivory Coast,Cameroon,0,African Cup of Nations qualification
675,2014-09-10,Cameroon,Ivory Coast,1,African Cup of Nations qualification
676,2014-09-10,Cameroon,Ivory Coast,1,African Cup of Nations qualification
677,2014-10-09,Switzerland,Slovenia,0,UEFA Euro qualification
678,2014-10-09,Russia,Sweden,0,UEFA Euro qualification
679,2014-10-10,Paraguay,Korea Republic,0,Friendly
680,2014-10-10,Turkey,Czech Republic,0,UEFA Euro qualification
681,2014-10-11,Brazil,Argentina,1,Friendly
682,2014-10-11,Greece,Finland,0,UEFA Euro qualification
683,2014-10-11,France,Portugal,1,Friendly
684,2014-10-11,Germany,Poland,0,UEFA Euro qualification
685,2014-10-11,Romania,Hungary,0,UEFA Euro qualification
686,2014-10-13,Norway,Bulgaria,1,UEFA Euro qualification
687,2014-10-14,Portugal,Denmark,1,UEFA Euro qualification
688,2014-10-14,Romania,Finland,1,UEFA Euro qualification
689,2014-10-14,Germany,Ireland,0,UEFA Euro qualification
690,2014-10-14,Greece,Northern Ireland,0,UEFA Euro qualification
691,2014-10-14,Poland,Scotland,0,UEFA Euro qualification
692,2014-11-12,Netherlands,Mexico,0,Friendly
693,2014-11-12,Brazil,Turkey,1,Friendly
694,2014-11-14,Hungary,Finland,1,UEFA Euro qualification
695,2014-11-14,Paraguay,Peru,1,Friendly
696,2014-11-14,Romania,Northern Ireland,1,UEFA Euro qualification
697,2014-11-14,Ireland,Scotland,0,UEFA Euro qualification
698,2014-11-14,Colombia,USA,1,Friendly
699,2014-11-15,Russia,Austria,0,UEFA Euro qualification
700,2014-11-15,England,Slovenia,1,UEFA Euro qualification
701,2014-11-16,Belgium,Wales,0,UEFA Euro qualification
702,2014-11-18,Brazil,Austria,1,Friendly
703,2014-11-18,Venezuela,Bolivia,0,Friendly
704,2014-11-18,Chile,Uruguay,0,Friendly
705,2014-11-18,France,Sweden,1,Friendly
706,2014-11-18,Russia,Hungary,1,Friendly
707,2014-11-18,Ireland,USA,1,Friendly
708,2014-11-18,Paraguay,Peru,0,Friendly
709,2014-11-18,Argentina,Portugal,0,Friendly
710,2014-11-18,Denmark,Romania,0,Friendly
711,2014-11-18,England,Scotland,1,Friendly
712,2014-11-18,Colombia,Slovenia,1,Friendly
713,2014-11-18,Germany,Spain,1,Friendly
714,2014-11-19,Ivory Coast,Cameroon,0,African Cup of Nations qualification
715,2014-11-30,Ivory Coast,South Africa,0,Friendly
716,2015-01-10,Cameroon,South Africa,0,Friendly
717,2015-01-15,Ivory Coast,Sweden,0,Friendly
718,2015-01-17,Korea Republic,Australia,1,AFC Asian Cup
719,2015-01-19,Sweden,Finland,0,Friendly
720,2015-01-28,Ivory Coast,Cameroon,1,African Cup of Nations
721,2015-01-28,Chile,USA,1,Friendly
722,2015-01-31,Australia,Korea Republic,1,AFC Asian Cup
723,2015-03-25,Denmark,USA,1,Friendly
724,2015-03-25,Germany,Australia,0,Friendly
725,2015-03-25,Scotland,Northern Ireland,1,Friendly
726,2015-03-26,France,Brazil,0,Friendly
727,2015-03-28,Italy,Bulgaria,0,UEFA Euro qualification
728,2015-03-28,Netherlands,Turkey,0,UEFA Euro qualification
729,2015-03-29,Brazil,Chile,1,Friendly
730,2015-03-29,France,Denmark,1,Friendly
731,2015-03-29,Greece,Hungary,0,UEFA Euro qualification
732,2015-03-29,Poland,Ireland,0,UEFA Euro qualification
733,2015-03-29,Northern Ireland,Finland,1,UEFA Euro qualification
734,2015-03-31,England,Italy,0,Friendly
735,2015-03-31,Korea Republic,New Zealand,1,Friendly
736,2015-03-31,Spain,Netherlands,0,Friendly
737,2015-03-31,Venezuela,Peru,1,Friendly
738,2015-03-31,Switzerland,USA,0,Friendly
739,2015-04-15,Mexico,USA,0,Friendly
740,2015-06-05,Netherlands,USA,0,Friendly
741,2015-06-07,Brazil,Mexico,1,Friendly
742,2015-06-07,France,Belgium,0,Friendly
743,2015-06-07,England,Ireland,0,Friendly
744,2015-06-08,Sweden,Norway,0,Friendly
745,2015-06-08,Turkey,Bulgaria,1,Friendly
746,2015-06-10,Germany,USA,0,Friendly
747,2015-06-11,Chile,Ecuador,1,Copa América
748,2015-06-12,Mexico,Bolivia,0,Copa América
749,2015-06-12,Belgium,Wales,0,UEFA Euro qualification
750,2015-06-13,Argentina,Paraguay,0,Copa América
751,2015-06-13,Hungary,Finland,1,UEFA Euro qualification
752,2015-06-13,Ireland,Scotland,0,UEFA Euro qualification
753,2015-06-13,Romania,Northern Ireland,0,UEFA Euro qualification
754,2015-06-14,Brazil,Peru,1,Copa América
755,2015-06-14,Colombia,Venezuela,0,Copa América
756,2015-06-14,Russia,Austria,0,UEFA Euro qualification
757,2015-06-14,England,Slovenia,1,UEFA Euro qualification
758,2015-06-15,Chile,Mexico,0,Copa América
759,2015-06-15,Ecuador,Bolivia,0,Copa América
760,2015-06-16,Argentina,Uruguay,1,Copa América
761,2015-06-16,Portugal,Italy,1,Friendly
762,2015-06-16,Poland,Greece,0,Friendly
763,2015-06-17,Brazil,Colombia,0,Copa América
764,2015-06-18,Peru,Venezuela,1,Copa América
765,2015-06-19,Chile,Bolivia,1,Copa América
766,2015-06-19,Mexico,Ecuador,0,Copa América
767,2015-06-20,Uruguay,Paraguay,0,Copa América
768,2015-06-21,Brazil,Venezuela,1,Copa América
769,2015-06-21,Colombia,Peru,0,Copa América
770,2015-06-24,Chile,Uruguay,1,Copa América
771,2015-06-25,Peru,Bolivia,1,Copa América
772,2015-06-26,Argentina,Colombia,0,Copa América
773,2015-06-27,Brazil,Paraguay,0,Copa América
774,2015-06-29,Chile,Peru,1,Copa América
775,2015-06-30,Argentina,Paraguay,1,Copa América
776,2015-07-03,Peru,Paraguay,1,Copa América
777,2015-07-04,Argentina,Chile,0,Copa América
778,2015-09-03,Norway,Bulgaria,1,UEFA Euro qualification
779,2015-09-04,Germany,Poland,1,UEFA Euro qualification
780,2015-09-04,Greece,Finland,0,UEFA Euro qualification
781,2015-09-04,Romania,Hungary,0,UEFA Euro qualification
782,2015-09-04,France,Portugal,1,Friendly
783,2015-09-05,Chile,Paraguay,1,Friendly
784,2015-09-05,Russia,Sweden,1,UEFA Euro qualification
785,2015-09-05,Switzerland,Slovenia,1,UEFA Euro qualification
786,2015-09-06,Italy,Bulgaria,1,UEFA Euro qualification
787,2015-09-06,Netherlands,Turkey,0,UEFA Euro qualification
788,2015-09-07,Hungary,Northern Ireland,0,UEFA Euro qualification
789,2015-09-07,Greece,Romania,0,UEFA Euro qualification
790,2015-09-07,Germany,Scotland,1,UEFA Euro qualification
791,2015-09-08,England,Switzerland,1,UEFA Euro qualification
792,2015-09-08,Argentina,Mexico,0,Friendly
793,2015-09-08,Sweden,Austria,0,UEFA Euro qualification
794,2015-10-08,Argentina,Ecuador,0,FIFA World Cup qualification
795,2015-10-08,Uruguay,Bolivia,0,FIFA World Cup qualification
796,2015-10-08,Brazil,Chile,0,FIFA World Cup qualification
797,2015-10-08,Colombia,Peru,1,FIFA World Cup qualification
798,2015-10-08,Germany,Ireland,0,UEFA Euro qualification
799,2015-10-08,Greece,Northern Ireland,0,UEFA Euro qualification
800,2015-10-08,Portugal,Denmark,1,UEFA Euro qualification
801,2015-10-08,Romania,Finland,0,UEFA Euro qualification
802,2015-10-08,Poland,Scotland,0,UEFA Euro qualification
803,2015-10-08,Venezuela,Paraguay,0,FIFA World Cup qualification
804,2015-10-10,Turkey,Czech Republic,1,UEFA Euro qualification
805,2015-10-10,Mexico,USA,1,Friendly
806,2015-10-11,France,Denmark,1,Friendly
807,2015-10-11,Finland,Northern Ireland,0,UEFA Euro qualification
808,2015-10-11,Greece,Hungary,1,UEFA Euro qualification
809,2015-10-11,Poland,Ireland,1,UEFA Euro qualification
810,2015-10-13,Brazil,Venezuela,1,FIFA World Cup qualification
811,2015-10-13,Ecuador,Bolivia,1,FIFA World Cup qualification
812,2015-10-13,Italy,Norway,1,UEFA Euro qualification
813,2015-10-13,Netherlands,Czech Republic,0,UEFA Euro qualification
814,2015-10-13,Argentina,Paraguay,0,FIFA World Cup qualification
815,2015-10-13,Chile,Peru,1,FIFA World Cup qualification
816,2015-10-13,Colombia,Uruguay,0,FIFA World Cup qualification
817,2015-11-12,Venezuela,Bolivia,0,FIFA World Cup qualification
818,2015-11-12,Colombia,Chile,0,FIFA World Cup qualification
819,2015-11-12,Uruguay,Ecuador,0,FIFA World Cup qualification
820,2015-11-12,Norway,Hungary,0,UEFA Euro qualification
821,2015-11-13,Argentina,Brazil,0,FIFA World Cup qualification
822,2015-11-13,Belgium,Italy,1,Friendly
823,2015-11-13,Germany,France,0,Friendly
824,2015-11-13,Peru,Paraguay,1,FIFA World Cup qualification
825,2015-11-13,Spain,England,1,Friendly
826,2015-11-13,Netherlands,Wales,1,Friendly
827,2015-11-14,Portugal,Russia,0,Friendly
828,2015-11-14,Sweden,Denmark,1,UEFA Euro qualification
829,2015-11-15,Norway,Hungary,0,UEFA Euro qualification
830,2015-11-17,Switzerland,Austria,1,Friendly
831,2015-11-17,Brazil,Peru,1,FIFA World Cup qualification
832,2015-11-17,Argentina,Colombia,1,FIFA World Cup qualification
833,2015-11-17,Denmark,Sweden,0,UEFA Euro qualification
834,2015-11-17,France,England,0,Friendly
835,2015-11-17,Italy,Romania,0,Friendly
836,2015-11-17,Paraguay,Bolivia,1,FIFA World Cup qualification
837,2015-11-17,Poland,Czech Republic,1,Friendly
838,2015-11-17,Turkey,Greece,0,Friendly
839,2015-11-17,Uruguay,Chile,1,FIFA World Cup qualification
840,2015-11-17,Venezuela,Ecuador,0,FIFA World Cup qualification
841,2016-01-10,Sweden,Finland,1,Friendly
842,2016-01-30,Ivory Coast,Cameroon,1,African Nations Championship
843,2016-03-24,Colombia,Bolivia,1,FIFA World Cup qualification
844,2016-03-24,Argentina,Chile,1,FIFA World Cup qualification
845,2016-03-24,Scotland,Czech Republic,1,Friendly
846,2016-03-24,Paraguay,Ecuador,0,FIFA World Cup qualification
847,2016-03-24,Spain,Italy,0,Friendly
848,2016-03-24,Peru,Venezuela,0,FIFA World Cup qualification
849,2016-03-24,Turkey,Sweden,1,Friendly
850,2016-03-24,Wales,Northern Ireland,0,Friendly
851,2016-03-25,Brazil,Uruguay,0,FIFA World Cup qualification
852,2016-03-25,Mexico,Canada,1,FIFA World Cup qualification
853,2016-03-25,Switzerland,Ireland,0,Friendly
854,2016-03-25,France,Netherlands,1,Friendly
855,2016-03-25,Portugal,Bulgaria,0,Friendly
856,2016-03-26,Cameroon,South Africa,0,African Cup of Nations qualification
857,2016-03-26,Germany,England,0,Friendly
858,2016-03-26,Poland,Finland,1,Friendly
859,2016-03-27,Spain,Romania,0,Friendly
860,2016-03-28,Slovenia,Northern Ireland,0,Friendly
861,2016-03-29,Argentina,Bolivia,1,FIFA World Cup qualification
862,2016-03-29,Turkey,Austria,1,Friendly
863,2016-03-29,Colombia,Ecuador,1,FIFA World Cup qualification
864,2016-03-29,England,Netherlands,0,Friendly
865,2016-03-29,France,Russia,1,Friendly
866,2016-03-29,Germany,Italy,1,Friendly
867,2016-03-29,Mexico,Canada,1,FIFA World Cup qualification
868,2016-03-29,Norway,Finland,1,Friendly
869,2016-03-29,Brazil,Paraguay,0,FIFA World Cup qualification
870,2016-03-29,Portugal,Belgium,1,Friendly
871,2016-03-29,Denmark,Scotland,0,Friendly
872,2016-03-29,Cameroon,South Africa,0,African Cup of Nations qualification
873,2016-03-29,Sweden,Czech Republic,0,Friendly
874,2016-03-29,Uruguay,Peru,1,FIFA World Cup qualification
875,2016-03-29,Chile,Venezuela,1,FIFA World Cup qualification
876,2016-05-20,Ivory Coast,Hungary,0,Friendly
877,2016-05-22,England,Turkey,1,Friendly
878,2016-05-27,England,Australia,1,Friendly
879,2016-05-27,Netherlands,Ireland,0,Friendly
880,2016-05-28,Mexico,Paraguay,1,Friendly
881,2016-05-28,Belgium,Switzerland,1,Friendly
882,2016-05-29,Italy,Scotland,1,Friendly
883,2016-05-29,Portugal,Norway,1,Friendly
884,2016-05-30,France,Cameroon,1,Friendly
885,2016-05-30,Sweden,Slovenia,0,Friendly
886,2016-06-01,Belgium,Finland,0,Friendly
887,2016-06-01,Russia,Czech Republic,0,Friendly
888,2016-06-01,Netherlands,Poland,1,Friendly
889,2016-06-02,England,Portugal,1,Friendly
890,2016-06-03,Colombia,USA,1,Copa América
891,2016-06-04,Greece,Australia,0,Friendly
892,2016-06-04,Netherlands,Austria,1,Friendly
893,2016-06-04,Brazil,Ecuador,0,Copa América
894,2016-06-04,France,Scotland,1,Friendly
895,2016-06-04,Germany,Hungary,1,Friendly
896,2016-06-05,Belgium,Norway,1,Friendly
897,2016-06-05,Uruguay,Mexico,0,Copa América
898,2016-06-05,Turkey,Slovenia,1,Friendly
899,2016-06-05,Sweden,Wales,1,Friendly
900,2016-06-06,Argentina,Chile,1,Copa América
901,2016-06-06,Italy,Finland,1,Friendly
902,2016-06-07,Greece,Australia,1,Friendly
903,2016-06-07,Denmark,Bulgaria,1,Kirin Cup
904,2016-06-07,Colombia,Paraguay,1,Copa América
905,2016-06-08,Ecuador,Peru,0,Copa América
906,2016-06-09,Uruguay,Venezuela,0,Copa América
907,2016-06-10,Chile,Bolivia,1,Copa América
908,2016-06-10,France,Romania,1,UEFA Euro
909,2016-06-11,England,Russia,0,UEFA Euro
910,2016-06-11,USA,Paraguay,1,Copa América
911,2016-06-12,Brazil,Peru,0,Copa América
912,2016-06-12,Poland,Northern Ireland,1,UEFA Euro
913,2016-06-13,Belgium,Italy,0,UEFA Euro
914,2016-06-13,Ireland,Sweden,0,UEFA Euro
915,2016-06-13,Mexico,Venezuela,0,Copa América
916,2016-06-13,Spain,Czech Republic,1,UEFA Euro
917,2016-06-14,Argentina,Bolivia,1,Copa América
918,2016-06-14,Austria,Hungary,0,UEFA Euro
919,2016-06-15,Switzerland,Romania,0,UEFA Euro
920,2016-06-16,England,Wales,1,UEFA Euro
921,2016-06-16,Germany,Poland,0,UEFA Euro
922,2016-06-16,USA,Ecuador,1,Copa América
923,2016-06-17,Italy,Sweden,1,UEFA Euro
924,2016-06-17,Colombia,Peru,0,Copa América
925,2016-06-17,Spain,Turkey,1,UEFA Euro
926,2016-06-18,Argentina,Venezuela,1,Copa América
927,2016-06-18,Belgium,Ireland,1,UEFA Euro
928,2016-06-18,Chile,Mexico,1,Copa América
929,2016-06-18,Portugal,Austria,0,UEFA Euro
930,2016-06-19,France,Switzerland,0,UEFA Euro
931,2016-06-20,Russia,Wales,0,UEFA Euro
932,2016-06-21,Turkey,Czech Republic,1,UEFA Euro
933,2016-06-21,Germany,Northern Ireland,1,UEFA Euro
934,2016-06-21,Argentina,USA,1,Copa América
935,2016-06-22,Colombia,Chile,0,Copa América
936,2016-06-22,Portugal,Hungary,0,UEFA Euro
937,2016-06-22,Italy,Ireland,0,UEFA Euro
938,2016-06-22,Belgium,Sweden,1,UEFA Euro
939,2016-06-25,Switzerland,Poland,0,UEFA Euro
940,2016-06-25,Colombia,USA,1,Copa América
941,2016-06-25,Wales,Northern Ireland,1,UEFA Euro
942,2016-06-26,Argentina,Chile,0,Copa América
943,2016-06-26,France,Ireland,1,UEFA Euro
944,2016-06-26,Belgium,Hungary,1,UEFA Euro
945,2016-06-27,Spain,Italy,0,UEFA Euro
946,2016-06-30,Portugal,Poland,0,UEFA Euro
947,2016-07-01,Belgium,Wales,0,UEFA Euro
948,2016-07-02,Germany,Italy,0,UEFA Euro
949,2016-07-06,Portugal,Wales,1,UEFA Euro
950,2016-07-07,Germany,France,0,UEFA Euro
951,2016-07-10,France,Portugal,0,UEFA Euro
952,2016-08-31,Germany,Finland,1,Friendly
953,2016-08-31,Turkey,Russia,0,Friendly
954,2016-09-01,Argentina,Uruguay,1,FIFA World Cup qualification
955,2016-09-01,Spain,Belgium,1,Friendly
956,2016-09-01,Peru,Bolivia,1,FIFA World Cup qualification
957,2016-09-01,Colombia,Venezuela,1,FIFA World Cup qualification
958,2016-09-01,Brazil,Ecuador,1,FIFA World Cup qualification
959,2016-09-01,France,Italy,1,Friendly
960,2016-09-01,Netherlands,Greece,0,Friendly
961,2016-09-01,Chile,Paraguay,0,FIFA World Cup qualification
962,2016-09-04,Czech Republic,Northern Ireland,0,FIFA World Cup qualification
963,2016-09-04,Germany,Norway,1,FIFA World Cup qualification
964,2016-09-06,Brazil,Colombia,1,FIFA World Cup qualification
965,2016-09-06,Chile,Bolivia,1,FIFA World Cup qualification
966,2016-09-06,Ecuador,Peru,0,FIFA World Cup qualification
967,2016-09-06,South Africa,Egypt,1,Friendly
968,2016-09-06,Netherlands,Sweden,0,FIFA World Cup qualification
969,2016-09-06,Portugal,Switzerland,0,FIFA World Cup qualification
970,2016-09-06,Uruguay,Paraguay,1,FIFA World Cup qualification
971,2016-09-06,Argentina,Venezuela,0,FIFA World Cup qualification
972,2016-10-06,Austria,Wales,0,FIFA World Cup qualification
973,2016-10-06,Brazil,Bolivia,1,FIFA World Cup qualification
974,2016-10-06,Chile,Ecuador,0,FIFA World Cup qualification
975,2016-10-06,Spain,Italy,0,FIFA World Cup qualification
976,2016-10-06,Colombia,Paraguay,1,FIFA World Cup qualification
977,2016-10-06,Argentina,Peru,0,FIFA World Cup qualification
978,2016-10-06,Uruguay,Venezuela,1,FIFA World Cup qualification
979,2016-10-07,France,Bulgaria,1,FIFA World Cup qualification
980,2016-10-07,Switzerland,Hungary,1,FIFA World Cup qualification
981,2016-10-08,Germany,Czech Republic,1,FIFA World Cup qualification
982,2016-10-08,Mexico,New Zealand,1,Friendly
983,2016-10-08,Poland,Denmark,1,FIFA World Cup qualification
984,2016-10-10,France,Netherlands,1,FIFA World Cup qualification
985,2016-10-10,Sweden,Bulgaria,1,FIFA World Cup qualification
986,2016-10-11,Argentina,Paraguay,0,FIFA World Cup qualification
987,2016-10-11,Ecuador,Bolivia,0,FIFA World Cup qualification
